iter	Logloss
0	0.6844529574
1	0.6766115741
2	0.6683897789
3	0.6606938824
4	0.6535648964
5	0.6464313944
6	0.6393217947
7	0.6329087058
8	0.6270930346
9	0.6215896068
10	0.6159559544
11	0.6105009361
12	0.6052370147
13	0.5998613002
14	0.5951063569
15	0.5902858203
16	0.585641438
17	0.5812990861
18	0.577191683
19	0.5732637201
20	0.5694339865
21	0.5655875542
22	0.5621223871
23	0.5584667524
24	0.5551907957
25	0.5519593577
26	0.548743937
27	0.5456316907
28	0.5427818843
29	0.5402399539
30	0.536809217
31	0.5338219322
32	0.5309022759
33	0.5278371521
34	0.5247951936
35	0.5219799894
36	0.5191099937
37	0.5164417031
38	0.5142184556
39	0.5116829202
40	0.5092770252
41	0.5069376058
42	0.5047952014
43	0.502619395
44	0.5004377578
45	0.4983430272
46	0.4964537957
47	0.4944616765
48	0.4927267449
49	0.4909600904
